,Mean,Standard Deviation,Mean without outliers,Standard Devation without outliers
All Clusters,2.198529411764706,7.790708117186206,1.8251231527093597,5.421626502758461
Contains Stragglers,8.08108108108108,7.790708117186206,8.08108108108108,13.289185716305479
